food_item,pcs,pcs_g,pcs_ml,cost_eur,energy_kcal,alcohol_g,caffeine_mg,water_g,carbs_g,fiber_g,starch_g,sugars_g,fat_g,monounsaturated_g,polyunsaturated_g,omega_3_g,omega_6_g,saturated_g,trans_fats_g,cholesterol_mg,protein_g,vit_b1_mg,vit_b2_mg,vit_b3_mg,vit_b5_mg,vit_b6_mg,vit_b12_ug,folate_ug,vit_a_IU,vit_c_mg,vit_d_IU,vit_e_mg,vit_k_ug,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,zinc_mg
oat_soy_mlk,,,100,0.14,45,,,85,,,,4.1,1.3,,,,,0.4,,,2,,,,,,,,,,,,,120,,,,,,,,36,
soy_mlk,,,100,0.14,46,,,85,,,,3,1.9,,,,,0.5,,,3.1,,,,,,,,,,,,,120,,,,,,,,44,
lentils,,100,,0.72,358,,,7.8,63.1,63.1,47.6,,2.2,0.5,1.1,0.2,0.9,0.4,,,23.9,0.5,0.1,1.5,0.3,0.4,,204,58,1.7,,,,48,1.3,7.4,5.9,1.7,294,668,,,3.6
banana,,100,,0.20,89,,,74.9,22.8,2.6,5.4,12.2,0.3,,0.1,,,0.1,,,1.1,,0.1,0.7,0.3,0.4,,20,64,8.7,,0.1,0.5,5,0.1,0.3,27,0.3,22,358,1,1,0.2
strawberry,,100,,0.16,32,,,91,7.7,2,,4.9,0.3,,0.2,0.1,0.1,,,,0.7,,,0.4,0.1,,,24,12,58,,0.3,2.2,16,,0.4,13,0.4,24,153,0.4,1,0.1
peanut_butter,,100,,0.80,598,,,1.2,22.3,5,3.6,10.5,51.4,25.9,12.5,0,12.2,10.3,0.1,,22.2,0.2,0.2,13.1,1.1,0.4,,87,,,,9.1,0.3,49,0.4,1.7,168,1.7,335,558,4.1,17,2.5
flour_tortilla,,100,,0.12,316.7,,,,51.9,,,2.4,6.9,,,,,1.2,,,9,,,,,,,,,,,,,,,,,,,,,477.8,
firm_tofu,,100,,0.30,161,,,,,,,,9.8,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,100,
granny_smith,1,246,,0.49,142,,,210,33.5,6.9,0.1,23.6,0.5,,,,,,,,1.1,,0.1,0.3,0.1,0.1,,7.4,246,,,0.4,7.9,12.3,0.1,0.4,12.3,0.1,29.5,295.2,0.2,2.5,0.1
pumpkin_seeds,,100,,2.27,574,,,2,14.7,6.5,0.7,1.3,49,15.7,19.9,0.1,19.7,8.5,,,29.8,0.1,0.2,4.4,0.6,0.1,,57,8,1.8,,0.6,4.5,52,1.3,8.1,550,4.5,1174,788,9.4,18,7.6
avocado,1,,,1.79,227.1,,,98.4,11.8,9.2,0.1,0.4,21,13.3,2.5,0.2,2.3,2.9,,,2.7,0.1,0.2,2.6,2,0.4,,121,199.9,12,,2.6,28.6,17.7,0.2,0.8,39.4,0.2,73.4,689.5,0.5,10.9,
broccoli,,100,,0.24,34,,,89.3,6.6,2.6,0,1.7,0.4,,,,,,,,2.8,0.1,0.1,0.6,0.6,0.2,,63,623,89,,1.4,102,47,0,0.7,21,0.2,66,316,2.5,33,0.4
baby_spinach,,100,,0.02,23,,,91.4,3.6,2.2,0.1,0.4,0.4,,0.2,0.1,,0.1,,,2.9,0.1,0.2,0.7,0.1,0.2,,194,9377,28.1,,2,482.9,99,0.1,2.7,79,0.9,49,558,1,79,0.5
carrots,,100,,0.16,41,,,88.3,9.6,2.8,1.4,4.7,0.2,,0.1,,0.1,,,,0.9,0.1,0.1,1,0.3,0.1,,19,16706,5.9,,0.9,8.3,33,,0.3,12,0.1,35,320,0.1,69,0.2
champignons,,100,,0.00,22,,,92.4,3.3,1,0.6,2,0.3,,0.2,,0.2,,,,3.1,0.1,0.4,3.6,1.5,0.1,,17,,2.1,7,,,3,0.3,0.5,9,,86,318,9.3,5,0.5
